WaveLength,Rrs_sim,Rrs_lid
339.3,-1.594890388,0.490780488
340.8,-1.605077732,0.464497415
342.3,-1.585265336,0.451895121
343.8,-1.535918675,0.501781196
345.3,-1.501040498,0.501615529
346.8,-1.472232293,0.512603962
348.3,-1.449585857,0.521793086
349.8,-1.411037209,0.552454324
351.3,-1.368743147,0.579038978
352.8,-1.31787594,0.614381399
354.2,-1.275382456,0.63969158
355.7,-1.212697051,0.696303138
357.2,-1.122469319,0.791564945
358.7,-1.033598561,0.892644973
360.2,-0.970640579,0.944794923
361.7,-0.931444878,0.9724964
363.1,-0.866400201,1.038377757
364.6,-0.813302265,1.096664386
366.1,-0.75871758,1.141406378
367.6,-0.704008061,1.200460353
369.1,-0.634832116,1.273956895
370.5,-0.56271852,1.351090523
372,-0.487500507,1.429654592
373.5,-0.403570048,1.536879541
375,-0.319915559,1.647687733
376.5,-0.265173824,1.722569456
377.9,-0.219319268,1.757310463
379.4,-0.15161557,1.831249522
380.9,-0.059515448,1.921604012
382.3,0.033733764,2.046173252
383.8,0.147557667,2.192106703
385.3,0.230425777,2.306331212
386.8,0.314734433,2.381974285
388.2,0.418781615,2.506781631
389.7,0.522601039,2.636002738
391.1,0.619537455,2.707252799
392.6,0.714453371,2.82071882
394.1,0.869477055,2.997509315
395.5,0.979147629,3.119350181
397,1.081912741,3.237226117
398.5,1.191717149,3.3634174
399.9,1.268037986,3.431341011
401.4,1.33977841,3.486880345
402.8,1.407792326,3.559627132
404.3,1.471110218,3.629409574
405.7,1.525709785,3.696782488
407.2,1.576343535,3.769102633
408.6,1.623229633,3.822370714
410.1,1.658177143,3.884043968
411.5,1.692660961,3.932862031
413,1.727093072,3.979410763
414.5,1.753911206,4.019373895
415.9,1.786008056,4.061470645
417.4,1.812601974,4.109504203
418.8,1.837743259,4.154225308
420.2,1.868641426,4.198031268
421.7,1.891501329,4.233495789
423.1,1.914304069,4.28020559
424.6,1.93624444,4.342363455
426,1.96053766,4.394563791
427.5,1.987567522,4.44894264
428.9,2.012445908,4.491517655
430.4,2.018565681,4.567828906
431.8,2.04028804,4.644489711
433.2,2.060303395,4.707007015
434.7,2.078187535,4.769377519
436.1,2.103965086,4.837603075
437.5,2.123251279,4.897830467
439,2.140720859,4.966530235
440.4,2.155294945,5.043986903
441.9,2.180020821,5.105192048
443.3,2.204941081,5.168851769
